stname	stID	class	opt_cour	score
student1	10120000	Network_1401	badminton	78.2
student2	10120001	Network_1401	basketball	75.4
student3	10120002	Network_1401	football	88.2
student4	10120003	Network_1401	basketball	87.7
student5	10120004	Network_1401	football	91.6
student6	10120005	Network_1401	table tennis	70.1
student7	10120006	Network_1401	swimming	69.1
student8	10120007	Network_1401	swimming	80.1
student9	10120008	Network_1401	swimming	92
student10	10120009	Network_1401	football	88.8
student11	10120010	Network_1401	table tennis	73.9
student12	10120011	Network_1401	badminton	82.3
student13	10120012	Network_1401	volleyball	87.6
student14	10120013	Network_1401	badminton	97.2
student15	10120014	Network_1401	volleyball	78.4
student16	10120015	Network_1401	tennis	61.5
student17	10120016	Network_1401	volleyball	83.3
student18	10120017	Network_1401	swimming	79.2
student19	10120018	Network_1401	football	68.5
student20	10120019	Network_1401	football	94.1
student21	10120020	Network_1401	table tennis	78.7
student22	10120021	Network_1401	badminton	96.4
student23	10120022	Network_1401	volleyball	83.7
student24	10120023	Network_1401	tennis	82
student25	10120024	Network_1401	volleyball	74.3
student26	10120025	Network_1401	volleyball	79.1
student27	10120026	Network_1401	tennis	85.9
student28	10120027	Network_1401	volleyball	73.9
student29	10120028	Network_1401	basketball	77.1
student30	10120029	Network_1401	taekwondo	79
student31	10120030	Network_1401	taekwondo	87
student32	10120031	Network_1401	table tennis	71.6
student33	10120032	Network_1401	badminton	72.5
student34	10120033	Network_1401	tennis	83.1
student35	10120034	Network_1401	swimming	85.4
student36	10120035	Network_1401	volleyball	75.2
student37	10120036	Network_1401	football	76.1
student38	10120037	Network_1401	table tennis	81.1
student39	10120038	Network_1401	badminton	73.6
student40	10120039	Network_1401	swimming	88.2
student41	10120040	Network_1401	tennis	74
student42	10120041	Network_1401	volleyball	96.1
student43	10120042	Network_1401	badminton	81.9
student44	10120043	Network_1401	basketball	87.5
student45	10120044	Network_1401	tennis	72.3
student46	10120045	Network_1401	tennis	69
student47	10120046	Network_1401	badminton	85.4
student48	10120047	Network_1401	swimming	82.7
student49	10120048	Network_1402	table tennis	73.6
student50	10120049	Network_1402	badminton	71.7
student51	10120050	Network_1402	volleyball	74.3
student52	10120051	Network_1402	tennis	99.7
student53	10120052	Network_1402	badminton	77.4
student54	10120053	Network_1402	basketball	82
student55	10120054	Network_1402	table tennis	82.7
student56	10120055	Network_1402	table tennis	76.5
student57	10120056	Network_1402	table tennis	67.2
student58	10120057	Network_1402	table tennis	86.2
student59	10120058	Network_1402	taekwondo	76.9
student60	10120059	Network_1402	taekwondo	90
