stname	stID	class	opt_cour
student1	10120000	Network_1401	badminton
student2	10120001	Network_1401	basketball
student3	10120002	Network_1401	football
student4	10120003	Network_1401	basketball
student5	10120004	Network_1401	football
student6	10120005	Network_1401	table tennis
student7	10120006	Network_1401	swimming
student8	10120007	Network_1401	swimming
student9	10120008	Network_1401	swimming
student10	10120009	Network_1401	football
student11	10120010	Network_1401	table tennis
student12	10120011	Network_1401	badminton
student13	10120012	Network_1401	volleyball
student14	10120013	Network_1401	badminton
student15	10120014	Network_1401	volleyball
student16	10120015	Network_1401	tennis
student17	10120016	Network_1401	volleyball
student18	10120017	Network_1401	swimming
student19	10120018	Network_1401	football
student20	10120019	Network_1401	football
student21	10120020	Network_1401	table tennis
student22	10120021	Network_1401	badminton
student23	10120022	Network_1401	volleyball
student24	10120023	Network_1401	tennis
student25	10120024	Network_1401	volleyball
student26	10120025	Network_1401	volleyball
student27	10120026	Network_1401	tennis
student28	10120027	Network_1401	volleyball
student29	10120028	Network_1401	basketball
student30	10120029	Network_1401	taekwondo
student31	10120030	Network_1401	taekwondo
student32	10120031	Network_1401	table tennis
student33	10120032	Network_1401	badminton
student34	10120033	Network_1401	tennis
student35	10120034	Network_1401	swimming
student36	10120035	Network_1401	volleyball
student37	10120036	Network_1401	football
student38	10120037	Network_1401	table tennis
student39	10120038	Network_1401	badminton
student40	10120039	Network_1401	swimming
student41	10120040	Network_1401	tennis
student42	10120041	Network_1401	volleyball
student43	10120042	Network_1401	badminton
student44	10120043	Network_1401	basketball
student45	10120044	Network_1401	tennis
student46	10120045	Network_1401	tennis
student47	10120046	Network_1401	badminton
student48	10120047	Network_1401	swimming
student49	10120048	Network_1402	table tennis
student50	10120049	Network_1402	badminton
student51	10120050	Network_1402	volleyball
student52	10120051	Network_1402	tennis
student53	10120052	Network_1402	badminton
student54	10120053	Network_1402	basketball
student55	10120054	Network_1402	table tennis
student56	10120055	Network_1402	table tennis
student57	10120056	Network_1402	table tennis
student58	10120057	Network_1402	table tennis
